,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90
272,Stuart Armstrong ,Southampton,3,63,0,0,0.00,0.08+0.08,0.00,0.11
273,Mohamed Elyounoussi ,Southampton,4,253,0,0,0.68+0.68,0.14+0.14,0.24,0.05
274,Mohammed Salisu ,Southampton,4,360,0,0,0.05+0.05,0.09+0.09,0.01,0.02
275,Juan Camilo Hernández,Watford ,3,228,0,1,0.31+0.31,0.33-0.67,0.12,0.13
276,William Troost-Ekong,Watford ,4,360,0,0,0.00,0.07+0.07,0.00,0.02
277,Sean Longstaff,Newcastle United ,4,310,0,0,0.07+0.07,0.00,0.02,0.00
278,Francisco Sierralta,Watford ,1,70,0,0,0.00,0.00,0.00,0.00
279,Christian Nørgaard,Brentford ,4,360,0,1,0.40+0.40,0.68-0.32,0.10,0.17
280,Marc Cucurella,Brighton ,4,339,0,0,0.02+0.02,0.91+0.91,0.00,0.24
281,Mathias Jensen,Brentford ,4,312,0,1,0.13+0.13,0.29-0.71,0.04,0.08
282,Sergio Reguilón,Tottenham ,3,265,0,1,0.02+0.02,0.21-0.79,0.01,0.07
283,Oliver Skipp,Tottenham ,4,337,0,0,0.00,0.00,0.00,0.00
284,Cristian Romero,Tottenham ,4,360,0,0,0.00,0.00,0.00,0.00
285,Leander Dendoncker,Wolverhampton Wanderers ,3,181,0,1,0.01+0.01,0.71-0.29,0.01,0.35
286,Diogo Dalot,Manchester United ,1,23,0,0,0.00,0.04+0.04,0.00,0.17
287,Joshua Sargent,Norwich ,4,317,0,0,0.36+0.36,0.19+0.19,0.10,0.05
288,Ben White,Arsenal ,4,360,0,0,0.09+0.09,0.52+0.52,0.02,0.13
289,Bukayo Saka,Arsenal ,4,316,0,1,0.99+0.99,0.66-0.34,0.28,0.19
290,Max Kilman,Wolverhampton Wanderers ,3,270,0,0,0.39+0.39,0.00,0.13,0.00
291,Bryan Gil Salvatierra,Tottenham ,2,6,0,0,0.00,0.00,0.00,0.00
292,Ozan Kabak,Norwich ,4,360,0,0,0.21+0.21,0.00,0.05,0.00
293,Dan Burn,Brighton ,3,239,0,0,0.10+0.10,0.02+0.02,0.04,0.01
294,Miguel Almirón,Newcastle United ,3,122,0,0,0.01+0.01,0.01+0.01,0.01,0.01
295,Emerson,Tottenham ,4,360,0,0,0.06+0.06,0.11+0.11,0.02,0.03
296,Mathias Normann,Norwich ,4,356,0,0,0.40+0.40,0.10+0.10,0.10,0.03
297,Marc Guehi,Crystal Palace ,4,360,0,0,0.10+0.10,0.00,0.03,0.00
298,Max Aarons,Norwich ,4,360,0,0,0.12+0.12,0.56+0.56,0.03,0.14
299,Ben Godfrey,Everton ,3,270,0,0,0.16+0.16,0.02+0.02,0.05,0.01
300,Grant Hanley,Norwich ,4,359,0,0,0.05+0.05,0.07+0.07,0.01,0.02
301,Kenny McLean,Norwich ,4,360,0,0,0.08+0.08,0.00,0.02,0.00
302,Teemu Pukki,Norwich ,4,354,0,0,0.74+0.74,0.25+0.25,0.19,0.06
303,Moussa Djenepo ,Southampton,2,73,0,0,0.09+0.09,0.15+0.15,0.11,0.18
304,Ezri Konsa Ngoyo,Aston Villa ,4,322,0,0,0.06+0.06,0.07+0.07,0.02,0.02
305,Gabriel Martinelli,Arsenal ,2,7,0,0,0.45+0.45,0.00,5.80,0.00
306,Zack Steffen,Manchester City ,1,90,0,0,0.00,0.00,0.00,0.00
307,Caoimhin Kelleher,Liverpool ,1,90,0,0,0.00,0.00,0.00,0.00
308,Takehiro Tomiyasu,Arsenal ,4,360,0,0,0.01+0.01,0.04+0.04,0.00,0.01
309,Adam Idah,Norwich ,3,14,0,0,0.00,0.00,0.00,0.00
310,Marvelous Nakamba,Aston Villa ,2,109,0,0,0.00,0.00,0.00,0.00
311,Brandon Williams,Norwich ,1,43,0,0,0.00,0.01+0.01,0.00,0.02
312,Kieran Tierney,Arsenal ,2,180,0,0,0.05+0.05,0.02+0.02,0.02,0.01
313,Anthony Gordon,Everton ,3,147,0,0,0.33+0.33,0.32+0.32,0.20,0.20
314,Neco Williams,Liverpool ,1,6,0,1,0.00,0.60-0.40,0.00,8.94
315,Tyrick Mitchell,Crystal Palace ,4,360,0,1,0.00,0.61-0.39,0.00,0.15
316,Tariq Lamptey,Brighton ,3,81,0,0,0.04+0.04,0.01+0.01,0.05,0.01
317,Jeremy Ngakia,Watford ,3,197,0,0,0.00,0.10+0.10,0.00,0.05
318,Takumi Minamino,Liverpool ,1,1,0,0,0.00,0.00,0.00,0.00
319,João Pedro,Watford ,4,119,0,1,0.09+0.09,0.58-0.42,0.07,0.44
320,Tomas Soucek,West Ham ,4,350,0,1,0.76+0.76,0.33-0.67,0.20,0.09
321,Daniel Podence,Wolverhampton Wanderers ,2,26,0,1,0.10+0.10,0.74-0.26,0.36,2.56
322,Steven Bergwijn,Tottenham ,2,36,0,0,0.00,0.00,0.00,0.00
323,Josh Brownhill,Burnley ,4,360,0,0,0.09+0.09,0.25+0.25,0.02,0.06
324,Ki-Jana Hoever,Wolverhampton Wanderers ,1,6,0,0,0.00,0.00,0.00,0.00
325,Nathan Tella ,Southampton,2,77,0,0,0.00,0.00,0.00,0.00
326,Cole Palmer,Manchester City ,1,1,0,0,0.00,0.00,0.00,0.00
327,Luke Thomas,Leicester ,1,90,0,0,0.07+0.07,0.02+0.02,0.07,0.02
328,Illan Meslier,Leeds ,4,360,0,0,0.00,0.00,0.00,0.00
329,Pascal Struijk,Leeds ,4,271,0,0,0.00,0.00,0.00,0.00
330,Stuart Dallas,Leeds ,4,350,0,0,0.43+0.43,0.65+0.65,0.11,0.17
331,Kalvin Phillips,Leeds ,2,180,0,1,0.00,0.04-0.96,0.00,0.02
332,Jack Harrison,Leeds ,3,227,0,0,0.20+0.20,0.16+0.16,0.08,0.07
333,Jamie Shackleton,Leeds ,4,342,0,0,0.02+0.02,0.00,0.01,0.00
334,Fabio Silva,Wolverhampton Wanderers ,1,13,0,0,0.00,0.34+0.34,0.00,2.33
335,Joël Veltman,Brighton ,4,332,0,0,0.00,0.09+0.09,0.00,0.02
