name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Matic,MUN,MID,4.5,Available,198,9,0,2.2,0.4
Pogba,MUN,MID,7.8,Available,526,36,4,5.1,21.8
Maguire,MUN,DEF,5.4,Injured,516,21,2,3.5,6.8
Fred,MUN,MID,5.0,Available,501,14,0,2.3,0.5
Shaw,MUN,DEF,5.4,Available,573,20,2,2.9,28.7
Lingard,MUN,MID,6.9,Available,45,14,1,4.7,1.3
Fernandes,MUN,MID,11.9,Available,624,38,4,5.4,27.0
Martial,MUN,FWD,7.6,Doubtful,152,11,2,2.2,0.6
Telles,MUN,DEF,5.0,Available,0,0,0,0.0,0.1
Henderson,MUN,GKP,4.8,Available,0,0,0,0.0,0.5
Rashford,MUN,MID,9.4,Injured,0,0,0,0.0,0.1
van de Beek,MUN,MID,5.7,Available,5,1,0,1.0,0.1
Lindelöf,MUN,DEF,4.8,Available,293,10,0,2.5,0.5
McTominay,MUN,MID,5.4,Available,343,10,0,2.0,0.2
Bailly,MUN,DEF,4.9,Available,0,0,0,0.0,0.1
Wan-Bissaka,MUN,DEF,5.4,Available,630,20,2,2.9,6.1
Greenwood,MUN,MID,7.7,Available,605,36,4,5.1,15.9
Mata,MUN,MID,4.8,Available,0,0,0,0.0,0.1
Sancho,MUN,MID,9.0,Available,232,9,0,1.5,2.0
Heaton,MUN,GKP,4.0,Available,0,0,0,0.0,0.5
Dalot,MUN,DEF,4.4,Available,57,1,0,0.5,0.1
Pereira,MUN,MID,5.0,NotAvail,0,0,0,0.0,0.0
