,Name,Club,Pos,Status,%Owned,Price,Chgs,Unlocks,Target
346,Bailly,Man Utd,D,A,1.5,£4.0m,0,---,101879
347,Sancho,Man Utd,M,A,7,£7.5m,0,---,101879
348,Wan-Bissaka,Man Utd,D,A,0.4,£4.5m,0,---,101879
349,Dalot,Man Utd,D,A,1,£4.5m,0,---,101879
350,B.Williams,Man Utd,D,A,2.8,£4.0m,0,---,101879
351,Elanga,Man Utd,M,A,2.4,£5.0m,0,---,101879
352,Martial,Man Utd,F,A,1.6,£7.0m,0,---,101879
353,Andreas,Fulham,M,A,20.1,£4.5m,0,---,101879
354,Pellistri,Man Utd,M,A,0.2,£4.5m,0,---,101879
355,Heaton,Man Utd,G,A,0.6,£4.0m,0,---,101879
356,Malacia,Man Utd,D,A,2.8,£4.5m,0,---,101879
357,Shelvey,Newcastle,M,A,0.1,£5.0m,0,---,101879
358,Ritchie,Newcastle,D,A,0.1,£4.5m,0,---,101879
359,Fernández,Newcastle,D,A,0.1,£4.5m,0,---,101879
360,Clark,Newcastle,D,U,0.1,£4.5m,0,---,101879
361,Darlow,Newcastle,G,A,4.5,£4.0m,0,---,101879
362,Wood,Newcastle,F,A,1.9,£6.0m,0,---,101879
363,Dubravka,Newcastle,G,A,1.6,£4.5m,0,---,101879
364,Wilson,Newcastle,F,A,4,£7.5m,0,---,101879
365,Trippier,Newcastle,D,A,15.9,£5.0m,0,---,101879
366,Burn,Newcastle,D,A,1.5,£4.5m,0,---,101879
367,Fraser,Newcastle,M,A,0.3,£5.5m,0,---,101879
368,Lascelles,Newcastle,D,A,0.2,£4.5m,0,---,101879
369,Gayle,Newcastle,F,A,3,£4.5m,0,---,101879
370,Dummett,Newcastle,D,A,0.5,£4.0m,0,---,101879
371,Manquillo,Newcastle,D,A,0.1,£4.5m,0,---,101879
372,Krafth,Newcastle,D,A,0.1,£4.5m,0,---,101879
373,Murphy,Newcastle,M,A,9.4,£4.5m,0,---,101879
374,Schär,Newcastle,D,A,0.8,£4.5m,0,---,101879
375,Targett,Newcastle,D,A,1.5,£5.0m,0,---,101879
376,Saint-Maximin,Newcastle,M,A,8.2,£6.5m,0,---,101879
377,Almirón,Newcastle,M,A,0.4,£5.0m,0,---,101879
